,会社情報,採用情報概要,雇用形態,仕事内容,対象となる方,勤務地,給与
59,株式会社キャリアマート,コールセンターの設計～運営までお任せ★【運営管理・SV】正社員 正社員,正社員,コールセンターのSV・管理者として設計～運営まで幅広い業務をお任せします★責任も裁量も多岐にわたるので沢山のやりがいがありますよ♪,コールセンター管理者・SV・営業いずれかの経験（雇用形態不問）または、コールセンター就業経験（3年以上）。,★勤務地★ 宮城県仙台市青葉区一番町3-3-20 東日本不動産仙台一番町ビル5階 ★周辺の環境★…,"月給25万円以上+インセンティブ（業績連動） ※上記、月給金額にはみなし残業（35時間分：53,200円）を含…"
60,全国保証株式会社 | 【東証一部上場】未経験歓迎/年休120日以上/19:30完全退社を徹底,◆安定企業の【総合職（保証審査・債権管理・営業等）】 正社員,正社員,【当社メイン事業の住宅ローンに関する業務全般をお任せ】20～30代の若手を中心に、幅広い知識や専門性を磨きながら活躍中！入社後の導入研修も充実！,【◆大卒以上】◆業界未経験の方もポテンシャル採用を行っています。※業界経験がある方は尚可,■本社・全国にある各支店 ◆本社・本店 千代田区大手町二丁目1番1号 大手町野村ビル19階/22階…,■月給25万円以上 ＋ 諸手当 ＋ 賞与年2回 ※経験・能力によって決定致します。 ※時間外手当全額支給（…
61,株式会社ＯＮＥ | 名古屋支社＃完全週休2日（年休120日） #連続黒字経営の安定企業,名古屋限定採用【法人営業】求人広告で企業様と求職者を結ぶ♪ 正社員,正社員,★求人広告（中途・アルバイト・新卒等）をメインとした営業活動をはじめ、各企業様に合った”課題解決”につながる提案をお任せします。,＜学歴不問◇年齢30歳まで◇男女不問＞学歴、経験問わず人物重視で積極採用致します。やってみたいの気持ちが大事。,【”転勤”あり or なし を選べる】 ＼ＩＵターン歓迎◇丸の内駅徒歩2分／ 【名古屋支社】 愛知…,【月給25万円 or 月給23.5万円スタート！】 ※総合職／エリア総合職に関しましては、 　”選択性”とな…
62,トランスコスモス株式会社 | 【東証一部上場】◎WEB面接可 ◎年休121日 ◎福利厚生充実,成長中の拠点で新たなキャリアをスタート！【運営管理】未経験OK 正社員,正社員,"【""""初めての転職""""という方も活躍できる、手厚いフォロー体制！】◎管理職としてマネジメントや運営業務を中心に担当※早期キャリアアップも可能です",【未経験者歓迎】☆20～30代の若手が中心となって活躍しています ◎リーダーや店長など人をまとめた経験、折衝や調整などの対人業務経験を活かせます,【仙台駅周辺の3拠点いずれかの勤務】 ※どの拠点も仙台駅近くの好アクセス！ ◎宮城県仙台市宮城野区…,月給20万3500円〜36万5000円＋賞与年2回 ※年齢、経験、能力を考慮の上、優遇します。 ≪経験がある方へ…
63,株式会社エス・ピー・ネットワーク | 産育休～復帰の実績あり ★連休取得可能 ★プライベートも充実,コスメショップ・施設などで活躍！【店内巡回・保安スタッフ】 正社員,正社員,【1～6ヵ月の研修で未経験スタートでも安心♪】店舗で商品ロスを未然に防ぐ環境作りの提案や定期巡回業務、保安業務などを担当◎キャリアパスも多彩！,【未経験者歓迎】★20～50代の幅広い年代＆女性活躍中★大半が異業種からの転職者★ショップスタッフ・店長などの経験も活かせる,【交通費全額支給】★直行直帰です！ <勤務地一例> 東京都千代田区/東京都中央区/東京都渋谷区/東…,■月給22万円〜30万円（時間外・深夜手当別途支給） 東京・神奈川・埼玉・千葉 ■月給20万円〜30万円（…
64,株式会社ウェヴァード | 新拠点も開設する成長企業★年休125日/土日祝休/売上を毎月還元,働きやすさ定着*残業月平均10h*スキルを磨ける【Webデザイナー】 正社員,正社員,【顧客窓口なし！デザイン+コーディングができる貴重なクリエイターに！】企業・エステサロンなどのHPをお任せ★iMac27インチなど作業環境も充実！,【担当案件の売上を毎月還元⇒平均6万円支給！最大10万円以上の実例有】◎Webデザインまたはコーディングの経験者★経験浅い方も意欲あれば歓迎！,【東京・仙台・福岡・名古屋で募集！】 ★名古屋積極採用中！ ※希望しない転勤は原則ありません 【東…,月給25万円以上＋インセンティブ ※勤務地、経験や能力などを考慮し決定します。 ※インセンティブは実績…
65,リスパック株式会社 | 食品包装容器メーカー★全国に11の販売拠点★4ヶ所の自社工場,★未経験OK★【 営業企画 】賞与実績4.8ヶ月／年間休日113日 正社員,正社員,【 「 こんなことで困ってるんだ… 」お客様の課題をパッケージ提案で解決！ 】　お客様と二人三脚で、理想のパッケージをカタチにしていく仕事です。,【 ★営業・接客経験が活かせます★ 】　想いをカタチにできる仕事、クリエイティブな仕事に挑戦したい！そんなあなたにオススメ★,【 東京支店勤務 】 東京支店 東京都中央区日本橋馬喰町1丁目6番7号 ▼アクセス 総務本線「 馬…,【 月給20万8100円〜26万4200円+諸手当 】 ※基本給は、年齢に応じて決定いたします。 ※試用期間：3ヶ…
66,オフィスコム株式会社 | PLUSグループ／自社製品・直販サイトの連携で13期連続売上UP,100％反響型【オフィス家具や内装のプランナー】★大阪募集 正社員,正社員,【100％反響型の提案＊綺麗なショールームもあり♪】オフィスの内装や家具をご提案し、快適なオフィス空間を創り出す仕事です。,《未経験者歓迎》35歳まで／経験・学歴不問　◎アイデアを活かせる仕事に興味がある方、人に喜んでもらえる仕事がしたい方◎20～30代活躍中,■大阪支店 大阪府大阪市中央区大手前1-7-31　OMMビル1F・B1F ※転居を伴う転勤は原則ご…,月給 21万7000円〜35万円 ※経験・能力を考慮の上、当社規定により優遇します。 ※上記の金額には固定残…
67,株式会社MAYA STAFFING | 【仙台限定募集！】★完全週休二日 ★月給23万円～ ★転勤なし,新設部署で新たなチャレンジをスタート【コールセンター管理】 契約社員,契約社員,★成長中のため早期キャリアアップ可能！【新プロジェクトの立ち上げにも参加！】◎コールセンターの管理・運営を担当 ※段階を経てステップアップ！,【経験者・未経験者共に募集】◎コールセンターを少しでも経験したことがあれば尚可！ ◎事務処理力の高い方、リーダーシップを活かしたい方は歓迎！,【転勤なし ★仙台駅近くの好アクセス！】 ◎東北支店 宮城県仙台市青葉区中央2-8-13 大和証券…,月給：23万円〜30万円 ※経験、年齢、スキルなどを考慮し、当社規定により優遇します ※上記には残業の有…
68,株式会社ケーネス | 官公庁の元請案件ほぼ100％★土日祝休★年休127日★残業20h程度,＼国交省・内閣府等から直接受注／ 【電気通信設備の点検/保守】 正社員,正社員,災害から安全を守る【官公庁の元請として防災情報システムの点検・保守】電気・通信・ネットワーク設備など総合的なスキルがつく★将来は現場管理者へ,"【経験者優遇/20代中心】◎高卒以上◎要普免 ○電気/電子/情報系を専攻していた方or電気通信工事施工管理技士,陸上特殊無線技士等の資格保有者",【エリアをまたぐ転勤なし】 ★ご希望を最大限考慮した配属を行います ★リモートワーク・直行直帰など…,【月給20.5〜26.8万円】 ＋賞与年2回(実績4.5ヵ月分) ＋残業代100％支給 ＋各種手当 ※年齢、経験、能力…
69,株式会社こども体育研究所 | ☆こどもたちの「生きる力」を育む専門機関☆未経験歓迎,幼稚園・保育園の【体育講師】☆こどもたちと楽しく一緒に成長！ 正社員,正社員,【体育の先生として指導】幼稚園・保育園にて、こども（２歳～小学生）に「運動遊び」を中心にこども体育の指導を行います ★日々感謝される仕事♪,【未経験の方、教員免許がない方も歓迎】◆大卒以上　◆30歳まで　◆こどもが好きな方、運動が好きな方、歓迎！ ★年間休日115日以上,★全国の各拠点で積極採用中★ ※勤務地は希望を考慮いたします。 ◆東京都文京区本郷3-43-16-…,"〈専門職A※有資格者〉 月給250,000円（一律手当含む） ※経験・年齢・能力を考慮のうえ、決定します。 …"
70,株式会社DHOLIC FBL | CREE`MARE by DHOLIC/完全週休2日・有給取得率90％～・賞与年4回,【ショップマネージャー(店長、サブ店長候補)】オープニング募集 正社員,正社員,【20代女性活躍中】ショップマネージャーとして店舗運営をお任せ。将来的にエリアマネージャーやメイクトレーナー・バイヤーなど多彩なチャンスあり！,【経験者必見／話題の韓国コスメセレクトショップ】※新店舗をイチから創り上げ、韓国コスメの魅力を発信してきたい方お待ちしています！,【★オープニングメンバーとして活躍/転勤なし★】 希望と現在の居住地をもとに 仙台、東京、京都いず…,■月給22万円〜30万円 ＋ 賞与 ※経験・能力・スキルなどを考慮の上、 　決定いたします。面接時にこれ…
71,オフィスコム株式会社 | PLUSグループ／自社製品・直販サイトの連携で13期連続売上UP,【オフィス家具や内装のプランナー】◆東京限定◆年間休日126日 正社員,正社員,【100％反響型の提案＊綺麗なショールームもあり♪】オフィスの内装や家具をご提案し、快適なオフィス空間を創り出す仕事です。,《未経験者歓迎》35歳まで／経験・学歴不問　◎アイデアを活かせる仕事に興味がある方、人に喜んでもらえる仕事がしたい方◎20～30代活躍中,■秋葉原支店 東京都千代田区神田須田町1-12山萬ビル1F ※転居を伴う転勤は原則ございません,月給 21万7000円〜35万円 ※経験・能力を考慮の上、当社規定により優遇します。 ※上記の金額には固定残…
72,アイテック株式会社,【大手企業での一般事務（管理部門）】※残業ほぼなし！土日祝休 正社員,正社員,管理部門での一般事務を中心に管理事務補助およびアシスタント業務をお任せします。,◆大卒以上◆20代後半～40歳位までが活躍中！◆,■大阪市北区梅田3丁目3番10号　梅田ダイビル6F/本社,"■月給185,000円〜195,000円"
73,エヌ・ティ・ティ・コミュニケーションズ株式会社 | NTTグループのICTカンパニー◇第二新卒歓迎(メンバーシップ採用),DXの最前線で活躍する【総合職(ITエンジニア・営業)】※35歳以下 正社員,正社員,ICTエンジニア、セールス等、幅広くキャリアを積んでいただき専門性を高めていただきます。※希望・適性を考慮【ジョブローテーション制度あり】,◎35歳までの方 ◎IT業界でのエンジニア経験(プログラム/開発/インフラ構築)や営業経験を活かせます。【未経験・第二新卒歓迎】,本社：東京 国内拠点：15ヶ所（北海道、宮城、新潟、東京、埼玉、長野、石川、静岡、愛知、京都、大阪…,"月給21万4,870円以上 ※経験・能力などを最大限考慮して決定します。 ※試用期間：4ヶ月(給与の変更なし…"
74,株式会社BEELEAF | エンドユーザーと継続的なシステム開発を武器に安定基盤を形成中,事業立ち上げにも参加【ソリューション営業】土日祝休・転勤なし 正社員,正社員,【導入実績を武器にIT提案！】◎システムや商品の企画提案からパソコン指導までさまざな課題を解決,★WEB面接実施中★【IT業界の知識は不問です】◎何かしらの営業経験がある方(業界不問) ※IT業界経験者は歓迎します！,【転勤なし】 ◎宮城県仙台市青葉区大町1丁目2-1 ライオンビル6階 ※お客様先によって車の運転を…,月給：20万円〜30万円＋各種手当 ※経験・スキル・年齢に応じて当社規定により優遇 (最低保証額は立ち上…
75,株式会社アスク | 東証一部上場・株式会社CVSベイエリアの100％出資グループ会社,【経理】◆残業月10h以下／月給27万円以上／転勤なし＆銀座勤務 正社員,正社員,本社並びにグループ会社の経理業務全般に携わります ◆経験やスキルに応じた業務からスタート ◆より専門的な業務へ段階的にステップアップできます,【学歴不問・業界未経験歓迎】経理や経理事務の実務経験がある方 ◆転勤なし＆銀座にある本社勤務 ◆残業基本なし,【本社】 東京都中央区銀座8-14-14 銀座昭和通りビル3階 ※転勤はありません。,月給27万700円以上 ※上記には月20時間分（3万5700円以上）のみなし残業代を含みます。 20時間を超過した…
76,株式会社BEELEAF | エンドユーザーと継続的なシステム開発を武器に安定基盤を形成中,小規模オーダーメイド開発・上流工程にも携われる【SE・PG】 正社員,正社員,【幅広い要求に対応】◎エンドユーザーの幅広い要求に合わせたオーダーメイドシステムを構築※スキルに応じて業務を担当します,【WEB面接OK】◎Java、C、C++、.NET系（C#、VB）いずれかを用いた開発経験(経験年数不問) ※未経験の方もご応募ください,【転勤なし】 ◎宮城県仙台市青葉区大町1丁目2-1 ライオンビル6階 ※仙台市営地下鉄「青葉通一番…,◎経験者 月給：21万円〜40万円＋各種手当 ※経験・スキル・年齢に応じて当社規定により優遇 ◎未経験者…
77,表示灯株式会社 | ＜広島・仙台・静岡採用＞創業53年/土日祝休/残業月20H以下,駅などにある案内板の【広告営業】*年休126日・未経験歓迎 正社員,正社員,＼導入実績トップクラスだから売りやすい!!／駅の改札付近や市役所、病院などに設置されている周辺案内図「NAVITA」への広告掲載をご提案します。,＼学歴・経験不問!!社会人デビュー・第二新卒歓迎／広告業界に興味のある方歓迎、業界問わず営業経験のある方は優遇します。※要普免（AT限定可）,◆広島支店・仙台支社・静岡支店勤務 ◆勤務地は希望を考慮/U・Iターン歓迎 広島支店 └広島県広島…,"月給18万4,700円〜31万6,700円＋インセンティブ（営業成績による）＋各種手当 ※経験・年齢・スキルを考…"
78,株式会社シーエー・アドバンス | サイバーエージェントグループ,【Web広告のディレクター】★未経験・第二新卒歓迎★年休125日 契約社員,契約社員,【服装自由！社内にはマッサージルームもあり◎】■Web広告がサイトに掲載されるまでのディレクション業務をお願いします。,<職種・業種未経験、第二新卒、フリーター歓迎>◆学歴不問◆接客・販売などの「人と話す」経験が活かせます！,沖縄県那覇市おもろまち1-1-12 那覇新都心センタービル5F ★転勤なし ★U・Iターン歓迎！…,"月給:182,000円〜250,000円 ※経験・年齢・能力等を考慮の上、決定いたします。 ※上記金額には46時間分(…"
79,アイリスオーヤマ株式会社 | 成長を続ける「家電・生活用品・食品の総合メーカー」,【営業系総合職(新規開拓／ルート)】20～30代活躍中！ 正社員,正社員,家電/LED照明/業務用家具/食品/日用品/雑貨等、多様な領域の商材を扱います。 商材・販路により【新規開拓営業/ルート営業】のいずれかを担当します。,■要普免(AT限定可/社有車の運転あり) ■基本的なPCスキル ■法人営業の経験者 ■売上計画に強くこだわった営業活動を行っていた方,全国営業所のいずれか ◆勤務地のご希望は考慮します ◆U・Iターン歓迎！ 北海道札幌市 宮城県仙台…,"初年度年俸 400万円〜650万円 ※年俸には＜月25時間分＞の＜固定残業代50,000円〜＞含む。 　超過分は別…"
80,株式会社ＯＮＥ | （オーエヌイー）,【求人広告の提案営業】経験を活かして報酬ゲット◆粗利全額支給 業務委託,業務委託,法人企業に対する求人広告（転職・新卒・アルバイト）の企画提案営業,求人広告の法人営業経験者 ※実務年数は不問,全国のクライアントへ直行直帰可（本社への出社は不要です） ＜面談地＞ 東京都新宿区新宿4-3-25…,◆マージン制（完全歩合） 例えば、200万円売上げた場合、 100万円程度の報酬が支払われます。 ＜報酬の…
81,株式会社ＯＮＥ | （オーエヌイー）*この求人広告を創る会社*20代～30代活躍中！,【パートナー営業】未経験・第二新卒歓迎◆代理店様への販売促進 正社員,正社員,パートナー企業（販売代理店様）の売上拡大のためのマネジメント、販売促進活動、ご提案、フォロー業務、営業同行などをお任せします。,【学歴不問・35歳までの方】営業未経験・第二新卒歓迎*求人広告、人材派遣・紹介、採用代行など人材業界で営業経験をお持ちの方はスキルを活かせます,【東京本社】 東京都新宿区新宿4-3-25 TOKYU REIT新宿ビル4階 「新宿三丁目駅」徒歩…,【月給25万円or月給23.5万円スタート！志向に合わせて働き方が選べます！】 ■総合職（転勤の可能性あり…
82,株式会社夢真 | ★研修でゼロから学べる ★ボーナス年2回 ★最短内定5日★,★東北/北海道限定募集【プロジェクトアシスタント】月給25万円~ 正社員,正社員,【充実研修あり!】スケジュール管理やプロジェクトに必要な資材や予算の管理などの管理業務のアシスタントをお任せ。男性多数活躍中！,【未経験者歓迎】フリーター・初めての転職の方・正社員デビューも大歓迎！◎応募時に志望動機や自己PRの記入欄はありません★20代若手活躍中！,★北海道・東北エリアいずれかのプロジェクト先 ★好きな街で長く働けます！ ★U・Iターン歓迎！ ＜…,月給25万円〜 ※上記には30時間分/4万3000円〜の固定残業代を含む ※残業時間超過分は別途支給。 ※試用…
83,日本エアーテック株式会社 | 東証一部上場★大学や医療機関などで使われる機器の専門メーカー,【一般事務】転勤なし！平均賞与4.9ヵ月・土日祝休★女性活躍中 正社員,正社員,<ワークライフバランスの良さは抜群です♪>◆一般的な営業事務業務（電話・来客対応、伝票処理、入金確認等）を通じて、営業部を支えてください！,【女性活躍中！髪型自由／ネイルOK】◎学歴不問◎基本的なPCスキル(Excel／Word)をお持ちの方◇営業事務経験者優遇◆平均賞与4.9ヵ月◆土日祝休,【東京本社への配属】 ※基本的に転勤はありません。 ※I・Uターン歓迎！ 【本社】 東京都台東区入…,月給／18万円以上 ※年齢・経験・前給などを考慮の上、決定いたします。 ※試用期間（3ヶ月）あり。その…
84,株式会社イチケン | 東証一部上場★イオン等をトータルプロデュースする総合建設会社,商業施設～大型マンション等、多彩な案件に携われる【施工管理】 正社員,正社員,【スキルを磨ける環境】大規模な商業施設/ビル/マンション等、多種多様な施設・建築物の施工管理業務をお任せ。当社独自の技術・ノウハウを習得可能！,◎「何らかの施工管理経験者」または「建築系・設備系学科を卒業された方」 ★前職給与を考慮し、待遇面を決定します ★年間休日115日,希望や居住地を考慮のうえ、全国の各拠点に配属します。 ※初回配属地からの転勤は原則ありません。 ★…,"月給25万6,000円以上 【月収例】月収43万3,060円／32歳（主任職）／経験8年／東京勤務、既婚、時間外40h…"
85,"株式会社シグマックス | ""東証一部上場 協和エクシオグループ""★第二新卒採用スタート★",【通信技術スタッフ】★未経験歓迎／年間休日120日(土日祝)★ 正社員,正社員,【同期と一緒に、半年間の研修で基礎知識を習得！】通信ネットワーク(電話・インターネット等)が安定的に繋がるように施工・保守などを担当。,ゼロから手に職を！<未経験・第二新卒歓迎＞◎定着率9割以上！ ◎25歳まで* ◎明るく元気な対応を心がけられる方 ◎人と話したり接することが好きな方,【U・Iターン歓迎！】 青森・岩手・山形・宮城・福島のいずれかの各センタ ※勤務地は希望を考慮 ◆…,"月給156,000円〜219,400円＋諸手当＋賞与年2回(5ヶ月分) ※月給はあくまで最低保証額です。年齢、経験、…"
86,昭和電線ケーブルシステム株式会社 | 東証一部上場・昭和電線ホールディングス（株）グループ,【施工スタッフ】※未経験OK・土日祝休み・年休121日・転勤なし 正社員,正社員,私たちの“いつもの暮らし”を支えている、電力ケーブルや電力機器の設置や組立工事をお任せします。※電力会社や大手企業からの受注が100%！,【条件を満たす方、全員と面接します】・高卒以上 ・普免（AT可）※入社後に準中型免許も取れます ※専門知識は必要なし！未経験からじっくり育てます,※UIターン歓迎 ＆ 転勤はありません！ 渡田エンジニアリングセンター／神奈川県川崎市川崎区小田栄…,"月給20万円〜29万2,000円 ※経験・年齢などを考慮の上、当社規定により決定します。 ※上記金額には、一…"
87,医療法人社団イースト会 | 【今ニーズが急増中◎】★完全週休2日制★有給取得率ほぼ100％,メンズクリニックの【受付事務】◆未経験者歓迎！◆残業ほぼなし 正社員,正社員,◎メンズクリニックの受付業務です。来院されたお客様対応や予約の問い合わせ、会計、事務業務をお任せします。◆キャリアアップの道もあります。,＜未経験歓迎＞★人物重視の採用のため、経験・学歴・社会人経験・転職回数は一切問いません◆第二新卒歓迎◆平均年齢32歳／20～30代男性が活躍中です,【駅チカ！勤務地は希望を考慮！】 ★新宿/新橋/池袋/横浜/神戸/広島/仙台/金沢/岡山/静岡 【…,月給：22万円以上＋賞与年2回 ◆年収例：550万円／6年目(37歳) ※年齢・経験・家族構成などを考慮して当…
88,アイリスオーヤマ株式会社 | <10年でグループ売上2倍!> 新規事業立上げによる増員募集！,<宮城>【製造オペレーター】年間休日180日以上！ 正社員,正社員,食品製造または衛生用品(マスク)の製造オペレーション業務からスタートし、経験を積んだ後はリーダー業務もお任せしていきます。,【高卒以上/要普免(AT可)/未経験・第二新卒歓迎！】◎食品や衛生用品の製造やメンテナンス業務に興味のある方 ★業種を問わず製造経験のある方は歓迎,【U・Iターン歓迎！マイカー通勤OK】 角田I.T.P./角田工場 宮城県角田市小坂上小坂1番,"月給18万円〜21万9,000円 ※給与条件は経験と能力を考慮して決定します。 ※試用期間3ヶ月（待遇の変更…"
89,株式会社縁 | ＼賞与年2回+決算賞与(直近10期連続支給中！)／ 【転勤なし】,安定基盤の企業で活躍！完全週休2日制(土日祝)の【 積算 】 正社員,正社員,建築工事費や資材費を計算する『積算業務』をお任せします。▼【 積算 】って何？という方は詳細をチェック! *スキルに応じた研修有,【 未経験・第2新卒・卒業見込みの方も大歓迎 】 ◎高卒・専門卒以上 ◎数独やパズル好きな方は向いているかも！★建築知識・積算知識は不問,【 希望勤務地、確約します 】 東京都千代田区・那覇市・福岡市・広島市・大阪市・名古屋市・仙台市の…,"【 未経験者 】 月給20万円〜27万円 + 諸手当 ※固定残業手当19,000円〜（残業15時間分）含む 【 経験者…"
90,株式会社フロンティアダイレクト | 完全週休2日(希望休考慮)／月給25万円スタート／残業月平均12h程,iQOS販売店の【 運営スタッフ 】あなたの接客スキルがさらに輝く 契約社員,契約社員,【 副店長候補★iQOS販売店にて使い方の説明やフレーバーの紹介などをお任せ 】商品知識ゼロでもOK「 いらっしゃいませ！ 」まずは元気な挨拶から＊*,【 業界未経験OK★サービス業での販売経験が活かせます 】無理やり売るというよりも、お客様と楽しく過ごせる仕事がしたい！そんなあなたはぜひ当社へ,【 iQOS(アイコス)店舗での勤務(大阪 or 広島) 】 ※U・Iターン歓迎！転居を伴う転勤は…,【 月給25万円以上＋業績給 】 ★正社員登用制度あり ※経験や能力を考慮の上、決定します。 ※試用期…
91,セントケア宮城株式会社 | 東証一部上場/セントケア・ホールディングのグループ企業,職場環境◎手厚い制度あり【介護スタッフ】週休2日制/残業月10h 正社員,正社員,【気さくで馴染みやすい職場◎】デイサービスや訪問介護など、希望や適性を考慮して業務をお任せ　※充実の福利厚生あり！安心して長く働ける環境です,【そのスキル、活かしませんか？】◎初任者研修(旧ホームヘルパー2級)有資格者 ◎要普免(AT限定可) ☆取得年数に応じ介護福祉士手当(最大5.2万円)支給,宮城県仙台市内/県南・県北エリア/石巻エリア/塩釜エリア/山形県山形市にある各施設。 ※勤務地は希…,"月給167,000円〜255,000円 ※試用期間3ヶ月あり（変動なし） ※賞与・処遇改善一時金：年2回支給あり(業…"
92,ダイワ通信株式会社 | ★早期キャリアアップやグローバルな活躍ができる★男性活躍中★,35歳迄の限定募集！[未]歓迎！販売代理店・法人企業への【営業】 正社員,正社員,【販売代理店または法人企業に対してセキュリティ商材を提案します】＼早くからチャレンジできる／入社早々に海外大手メーカーへ視察に行った先輩も！,【応募条件】◆35歳までの方*◆要普免(AT可)◆基本的なPCスキル　◇コツコツと取り組める方や周囲に働きかけたり、協調性を大切にできる方は大歓迎！,東京・大阪・名古屋・石川・札幌・仙台・新潟・広島・福岡募集 ★勤務地はお住まいのエリアを考慮 ★拠…,"月給25万〜35万円 ※当社規定により優遇いたします ※固定残業代含む（4万7,500円〜／30時間分） ※固定…"
93,アクト・セン株式会社 | 医療機器を技術で支え社会に貢献★完休2日★育成体制充実,未経験OK！MRIなど医療機器の【サポートエンジニア】年休123日 正社員,正社員,【研修からスタート！MRIなど診療に欠かせない機器を扱い社会に貢献！】医療機器の操作ミス・故障などの問合せ対応★対応数のノルマ等はありません！,【未経験歓迎/20代・30代活躍中/意欲・人物重視】◎高卒以上★社会に役立つ仕事がしたい・医療系機器に興味ある方★完全週休2日制でお休み安心！,東京都日野市旭が丘 ※豊田駅からバス10分 ※研修2週間は東京都八王子市（テクニカルセンタ）,"月給22万5,000円〜 （固定残業代40時間分50,650円含む ※超過分は別途支給） ※経験・年齢・能力を考慮の…"
94,日本エアーテック株式会社 | 【東証一部上場】大学や医療機関などで使われる機器専門メーカー,クリーンエア機器メーカーの【提案・販売営業】★賞与6.2ヶ月 正社員,正社員,《リピートや紹介による営業がメインです》半導体電子部品メーカー、製薬会社、研究所、病院など、既存顧客を中心に製品の説明・提案を行う仕事です。,《経験が浅くてもOK！手厚い教育/研修体制で未経験でも安心♪》■要普免（AT可）■基本的なPCスキル ■学歴不問 ※文系・理系問わず先輩多数活躍中！,■関西/中部営業所への配属となります。 ※基本的に転勤はありません。 ※I・Uターン歓迎！ご希望を…,月給／24万円〜38万円 ※年齢・経験・前給などを考慮の上、決定いたします。 ※試用期間（3ヶ月）あり。…
95,"大栄電気株式会社 | 【連結売上2,596億円・新菱冷熱グループ】★昨年度賞与6.0カ月分","""手に職""をつけて、社会インフラを支える！【電気設備施工管理】 正社員",正社員,《大規模＆有名案件多数！》 ◆官公庁やオフィスビル、TV局、鉄道など、幅広い物件の電気施工管理をお任せします ◎充実した研修で安心スタート！,《実務未経験・第二新卒歓迎》◆電気系の知識がある方（学校や職業訓練校で学んだ方） ◎万全の体制で長期キャリア形成を支援 ◎経験者は優遇致します,ご希望をもとに、本社（東京）、名古屋、大阪のいずれかの拠点へ配属します。 ■本社 東京都中央区湊1…,"【経験者】 月給／26万円〜 【実務未経験者】 月給／22万1,000円〜 ※上記はいずれも最低支給額です。…"
96,株式会社タカヨシ | 2020年に創業100周年！経済産業省「健康経営優良法人」に認定,年間休日119日！働きやすい環境で活躍【企画営業】※転勤なし 正社員,正社員,東北エリア販路拡大に向けた新規営業中心★印刷物や各種販促物など各種サービスを提案します★企業のブランディングに関わるやりがいのある仕事です,《経験者優遇！即戦力として活躍！》◎営業職としての経験をお持ち方（業種不問）◎要普免(AT限定可),【★U/Iターン歓迎！勤務地限定募集★当社仙台営業所（北四番丁駅徒歩8分）にて勤務】 ●仙台営業所…,"月給：22万7,200円以上＋諸手当 《モデル賃金》 ・30才（主任職）月収32万円/年収420〜500万円 ・35才（…"
97,株式会社ＯＮＥ | オーエヌイー【16期連続黒字経営の安定企業】,【採用の企画プランナー】未経験歓迎★年休120日！ 正社員,正社員,幅広い業界のクライアント企業に対して、求人広告を活用し課題解決につながる提案をお任せします。約1ヶ月間の充実した研修があるので安心です♪,【学歴・経験不問！】未経験者、第二新卒歓迎！社会人デビューを目指している方も大歓迎です！,『東京(新宿)、大阪(本町)、名古屋(中区)』 の3か所で積極的に採用実施中！ 【東京本社】 東京…,【月給25万円or月給23.5万円スタート！】 ★志向に合わせて働き方が選べます！ ■総合職（転勤あり） 月…
98,株式会社ONE | ◎16期連続黒字経営の成長企業◎年間休日120日・反響営業メイン,IT×人材【システム提案営業】★フレックス／完全週休2日制 正社員,正社員,「IT×人事」を組み合わせたシステムの提案をお任せします！◎反響による新規営業がメイン◎,＜業界未経験歓迎！＞◆第二新卒OK◆学歴不問★人材営業経験者は優遇します！★20代・30代活躍中！★お客様と並走する営業スタイルで活躍したい方,東京都新宿区新宿4-3-25 TOKYU REIT新宿ビル4階 ※転勤はありません 【アクセス】…,月給25万円以上＋インセンティブ ※経験・能力を考慮の上優遇します。 ※上記にはみなし残業代45時間分(…
99,東日本興業株式会社 | 年間休日120日以上(土日祝)！ワークライフバランス抜群◎,《東北電力グループ》のリース車両を管理する【営業事務】 正社員,正社員,<オフィスワークが中心！>東北電力グループで使用しているリース車両の管理・提案、お問合せ対応、見積書・契約書の作成、納車前の車両チェックなど。,【学歴・年齢不問】◎自動車整備士の有資格者 ◎要普免(AT限定可) ★自動車整備の経験に加えて、ディーラーでの経験がある方は優遇します！,【UIターン歓迎！】 宮城県仙台市青葉区一番町3丁目7-1 電力ビル9階 ※入社後に、青森市・秋田…,"月給200,000円〜250,000円＋各種手当＋賞与年2回 ※【モデル年収】年収425万円(30代後半) ※能力・経験…"
100,株式会社ネクスコ・エンジニアリング東北 | 【残業月平均26時間・年間休日125日・賞与平均4.9ヶ月分】,事務経験を活かして働く！【事務総合職】※東北エリア限定募集 正社員,正社員,【コーポレート部門で事務業務全般を担当】◎まずは総務や経理などを覚え、幅広い知識を習得してください,【業界不問・経験者募集！】◎総務・労務・経理など事務業務の実務経験者（年数不問）◎要普免（AT可）,【本社】 宮城県仙台市青葉区花京院2-1-65　いちご花京院ビル ◎転勤について 東北六県（青森県…,"月給：188,000円〜 + 各種手当 ※上記はあくまでも最低保証額です。 ※経験・年齢を考慮の上、当社規定…"
